PTPRE	P23469
PTPRH	Q9HD43
PTPRU	Q92729
PUF60	Q9UHX1
PUM1	Q14671
PUM2	Q8TB72
PURA	Q00577
PURB	Q96QR8
PWP1	Q13610
PXDNL	A1KZ92
PYCR1	P32322
QKI	Q96PU8
R3HDM1	Q15032
R3HDM2	Q9Y2K5
RAB10	P61026
RAB1A	P62820
RAB35	Q15286
RAB36	O95755
RACGAP1	Q9H0H5
RACK1	P63244
RAD21	O60216
RALB	P11234
RALY	Q9UKM9
RAN	P62826
RANBP1	P43487
RANBP2	P49792
RAPGEF6	Q8TEU7
RAVER1	Q8IY67
RBBP4	Q09028
RBFOX1	Q9NWB1
RBFOX2	O43251
RBM10	P98175
RBM12	Q9NTZ6
RBM12B	Q8IXT5
RBM14	Q96PK6
RBM15	Q96T37
RBM15B	Q8NDT2
RBM17	Q96I25
RBM19	Q9Y4C8
RBM20	Q5T481
RBM25	P49756
RBM26	Q5T8P6
RBM28	Q9NW13
RBM3	P98179
RBM33	Q96EV2
RBM38	Q9H0Z9
RBM39	Q14498
RBM4	Q9BWF3
RBM42	Q9BTD8
RBM47	A0AV96
RBM4B	Q9BQ04
RBM5	P52756
RBM6	P78332
RBMS1	P29558
RBMS2	Q15434
RBMX	P38159
RBMXL1	Q96E39
RC3H1	Q5TC82
RC3H2	Q9HBD1
RCC1	P18754
RCC2	Q9P258
RECQL	P46063
RECQL5	O94762
RELN	P78509
RFC3	P40938
RFC4	P35249
RGL4	Q8IZJ4
RGPD3	A6NKT7
RIOK1	Q9BRS2
RIPK4	P57078
RNASEL	Q05823
RNASET2	O00584
RNF214	Q8ND24
RNF219	Q5W0B1
RNF25	Q96BH1
RNF32	Q9H0A6
RNF4	P78317
RNH1	P13489
RO60	P10155
RPA1	P27694
RPA2	P15927
RPF2	Q9H7B2
RPL10	P27635
RPL10A	P62906
RPL11	P62913
RPL12	P30050
RPL13	P26373
RPL13A	P40429
RPL14	P50914
RPL15	P61313
RPL18	Q07020
RPL18A	Q02543
RPL21	P46778
RPL22	P35268
RPL26	P61254
RPL27A	P46776
RPL3	P39023
RPL30	P62888
RPL32	P62910
RPL37	P61927
