TAGLN3	Q9UI15
TARDBP	Q13148
TBK1	Q9UHD2
TBKBP1	A7MCY6
TBRG1	Q3YBR2
TCEA1	P23193
TCHP	Q9BT92
TCP1	P17987
TDRD3	Q9H7E2
TDRD7	Q8NHU6
TF	P02787
THOC2	Q8NI27
THRAP3	Q9Y2W1
TIA1	P31483
TIAL1	Q01085
TMEM131	Q92545
TMOD3	Q9NYL9
TNKS	O95271
TNKS1BP1	Q9C0C2
TNPO1	Q92973
TNPO2	O14787
TNRC6A	Q8NDV7
TNRC6B	Q9UPQ9
TNRC6C	Q9HCJ0
TOMM34	Q15785
TOP2A	P11388
TOP2B	Q02880
TOP3B	O95985
TPM1	P09493
TPM2	P07951
TRA2B	P62995
TRAF2	Q12933
TRAF3IP2	O43734
TRDMT1	O14717
TRIM21	P19474
TRIM25	Q14258
TRIM56	Q9BRZ2
TRIM71	Q2Q1W2
TRIP4	Q15650
TRIP6	Q15654
TTC17	Q96AE7
TTK	P33981
TUBA1C	Q9BQE3
TUBA3C	P0DPH7
TUBA4A	P68366
TUBB3	Q13509
TUBB8	Q3ZCM7
TUFM	P49411
TUT4	Q5TAX3
TUT7	Q5VYS8
TXN	P10599
TXNDC17	Q9BRA2
TXNL1	O43396
U2AF1	Q01081
U2AF2	P26368
UBA1	P22314
UBAP2	Q5T6F2
UBAP2L	Q14157
UBL5	Q9BZL1
UBQLN2	Q9UHD9
UPF1	Q92900
UPF2	Q9HAU5
UPF3B	Q9BZI7
USP10	Q14694
USP11	P51784
USP5	P45974
USP54	Q70EL1
UTP11	Q9Y3A2
UTP15	Q8TED0
UTP18	Q9Y5J1
VASP	P50552
VBP1	P61758
VCP	P55072
WBP2	Q969T9
WDCP	Q9H6R7
WDR33	Q9C0J8
WDR47	O94967
WDR62	O43379
XAB2	Q9HCS7
XPO1	O14980
XRCC5	P13010
XRCC6	P12956
XRN1	Q8IZH2
XRN2	Q9H0D6
YARS	P54577
YBX1	P67809
YBX3	P16989
YES1	P07947
YLPM1	P49750
YTHDC2	Q9H6S0
YTHDF1	Q9BYJ9
YTHDF2	Q9Y5A9
YTHDF3	Q7Z739
YWHAB	P31946
YWHAG	P61981
YWHAH	Q04917
YWHAQ	P27348
ZBP1	Q9H171
ZC3H11A	O75152
